key,export,default,kind,default_source
AHRS_TRIM_X,0.004168944,0,calibration/identity,code(4.7.0 src)
AHRS_TRIM_Y,0.001064814,0,calibration/identity,code(4.7.0 src)
ARMING_RUDDER,0,2,config,code(4.7.0 src)
ATC_ACC_P_MAX,1469.394,1100,config,code(4.7.0 src)
ATC_ACC_R_MAX,1131.606,1100,config,code(4.7.0 src)
ATC_ACC_Y_MAX,763.7736,270,config,code(4.7.0 src)
ATC_ANGLE_MAX,45,30,config,code(4.7.0 src)
ATC_ANG_PIT_P,20.05561,4.5,config,sitl-4.7.0
ATC_ANG_RLL_P,16.54115,4.5,config,sitl-4.7.0
ATC_ANG_YAW_P,13.60845,4.5,config,sitl-4.7.0
ATC_RAT_PIT_D,0.003932775,0.0036,config,code(4.7.0 src)
ATC_RAT_PIT_FLTD,21,20,config,code(4.7.0 src)
ATC_RAT_PIT_FLTT,21,20,config,code(4.7.0 src)
ATC_RAT_PIT_I,0.06176964,0.135,config,code(4.7.0 src)
ATC_RAT_PIT_P,0.06176964,0.135,config,code(4.7.0 src)
ATC_RAT_PIT_SMAX,50,0,config,code(4.7.0 src)
ATC_RAT_RLL_D,0.003350064,0.0036,config,code(4.7.0 src)
ATC_RAT_RLL_FLTD,21,20,config,code(4.7.0 src)
ATC_RAT_RLL_FLTT,21,20,config,code(4.7.0 src)
ATC_RAT_RLL_I,0.06502037,0.135,config,code(4.7.0 src)
ATC_RAT_RLL_P,0.06502037,0.135,config,code(4.7.0 src)
ATC_RAT_RLL_SMAX,50,0,config,code(4.7.0 src)
ATC_RAT_YAW_D,0.03149521,0,config,code(4.7.0 src)
ATC_RAT_YAW_FLTD,21,20,config,code(4.7.0 src)
ATC_RAT_YAW_FLTE,1,2.5,config,code(4.7.0 src)
ATC_RAT_YAW_FLTT,21,20,config,code(4.7.0 src)
ATC_RAT_YAW_I,0.05446329,0.018,config,code(4.7.0 src)
ATC_RAT_YAW_P,0.5446329,0.18,config,code(4.7.0 src)
ATC_RAT_YAW_SMAX,50,0,config,code(4.7.0 src)
ATC_THR_MIX_MAX,0.9,0.5,config,code(4.7.0 src)
AUTOTUNE_AXES,0,1,config,code(4.7.0 src)
BARO1_DEVID,423425,0,calibration/identity,code(4.7.0 src)
BARO1_GND_PRESS,101854.8,0,calibration/identity,code(4.7.0 src)
BATT_ARM_VOLT,19.2,0,config,code(4.7.0 src)
BATT_CAPACITY,8000,3300,config,code(4.7.0 src)
BATT_CRT_MAH,250,0,config,code(4.7.0 src)
BATT_CRT_VOLT,18,0,config,code(4.7.0 src)
BATT_FS_CRT_ACT,1,0,config,code(4.7.0 src)
BATT_FS_LOW_ACT,1,0,config,code(4.7.0 src)
BATT_LOW_TIMER,0,10,config,code(4.7.0 src)
BATT_LOW_VOLT,18.6,10.5,config,code(4.7.0 src)
BATT_MONITOR,9,4,config,board
BRD_RTC_TZ_MIN,240,0,config,code(4.7.0 src)
BRD_SAFETY_MASK,16368,0,config,code(4.7.0 src)
COMPASS_DEC,-0.1613886,0,calibration/identity,code(4.7.0 src)
COMPASS_DEV_ID,658953,0,calibration/identity,code(4.7.0 src)
COMPASS_DIA_X,0.9816729,1,calibration/identity,code(4.7.0 src)
COMPASS_DIA_Y,0.9980292,1,calibration/identity,code(4.7.0 src)
COMPASS_DIA_Z,1.031415,1,calibration/identity,code(4.7.0 src)
COMPASS_EXTERN2,1,0,config,code(4.7.0 src)
COMPASS_EXTERNAL,1,0,config,code(4.7.0 src)
COMPASS_ODI_X,-0.00401965,0,calibration/identity,code(4.7.0 src)
COMPASS_ODI_Y,0.0365227,0,calibration/identity,code(4.7.0 src)
COMPASS_ODI_Z,0.02941244,0,calibration/identity,code(4.7.0 src)
COMPASS_OFS2_X,173.6031,0,calibration/identity,code(4.7.0 src)
COMPASS_OFS2_Y,-115.2469,0,calibration/identity,code(4.7.0 src)
COMPASS_OFS2_Z,-1.972043,0,calibration/identity,code(4.7.0 src)
COMPASS_OFS_X,-102.7058,0,calibration/identity,code(4.7.0 src)
COMPASS_OFS_Y,31.46312,0,calibration/identity,code(4.7.0 src)
COMPASS_OFS_Z,-24.97577,0,calibration/identity,code(4.7.0 src)
COMPASS_ORIENT,6,0,config,code(4.7.0 src)
COMPASS_ORIENT2,6,0,config,code(4.7.0 src)
COMPASS_PRIO1_ID,658953,0,calibration/identity,code(4.7.0 src)
COMPASS_SCALE,1.062919,0,calibration/identity,code(4.7.0 src)
COMPASS_SCALE2,0.8551114,0,calibration/identity,code(4.7.0 src)
COMPASS_USE2,0,1,config,code(4.7.0 src)
COMPASS_USE3,0,1,config,code(4.7.0 src)
EK3_GPS_VACC_MAX,0.15,0,config,code(4.7.0 src)
EK3_SRC2_POSXY,6,0,config,code(4.7.0 src)
EK3_SRC2_YAW,1,0,config,code(4.7.0 src)
EK3_SRC3_POSXY,3,0,config,code(4.7.0 src)
EK3_SRC3_VELXY,3,0,config,code(4.7.0 src)
EK3_SRC3_VELZ,3,0,config,code(4.7.0 src)
EK3_SRC3_YAW,1,0,config,code(4.7.0 src)
EK3_SRC_OPTIONS,8,0,config,code(4.7.0 src)
